Catégorie : Toutes catégories

Mois,Grupo Modelo: (États-Unis)
2004-01,0
2004-02,6
2004-03,7
2004-04,8
2004-05,8
2004-06,9
2004-07,8
2004-08,6
2004-09,7
2004-10,6
2004-11,6
2004-12,6
2005-01,4
2005-02,8
2005-03,7
2005-04,9
2005-05,8
2005-06,7
2005-07,7
2005-08,6
2005-09,3
2005-10,8
2005-11,8
2005-12,6
2006-01,6
2006-02,5
2006-03,8
2006-04,8
2006-05,8
2006-06,10
2006-07,9
2006-08,6
2006-09,7
2006-10,7
2006-11,5
2006-12,6
2007-01,6
2007-02,6
2007-03,6
2007-04,6
2007-05,6
2007-06,7
2007-07,8
2007-08,7
2007-09,6
2007-10,7
2007-11,8
2007-12,6
2008-01,8
2008-02,8
2008-03,7
2008-04,11
2008-05,10
2008-06,17
2008-07,14
2008-08,11
2008-09,11
2008-10,13
2008-11,13
2008-12,10
2009-01,12
2009-02,12
2009-03,10
2009-04,14
2009-05,15
2009-06,14
2009-07,15
2009-08,14
2009-09,16
2009-10,15
2009-11,16
2009-12,11
2010-01,14
2010-02,15
2010-03,15
2010-04,16
2010-05,19
2010-06,16
2010-07,16
2010-08,16
2010-09,17
2010-10,17
2010-11,16
2010-12,16
2011-01,9
2011-02,9
2011-03,9
2011-04,9
2011-05,13
2011-06,11
2011-07,12
2011-08,11
2011-09,10
2011-10,11
2011-11,10
2011-12,9
2012-01,10
2012-02,10
2012-03,9
2012-04,11
2012-05,22
2012-06,22
2012-07,19
2012-08,14
2012-09,14
2012-10,12
2012-11,11
2012-12,11
2013-01,13
2013-02,14
2013-03,11
2013-04,14
2013-05,15
2013-06,14
2013-07,14
2013-08,13
2013-09,11
2013-10,10
2013-11,11
2013-12,10
2014-01,9
2014-02,9
2014-03,9
2014-04,11
2014-05,15
2014-06,14
2014-07,13
2014-08,12
2014-09,10
2014-10,10
2014-11,10
2014-12,12
2015-01,11
2015-02,10
2015-03,11
2015-04,15
2015-05,18
2015-06,18
2015-07,17
2015-08,17
2015-09,14
2015-10,13
2015-11,12
2015-12,11
2016-01,10
2016-02,10
2016-03,12
2016-04,16
2016-05,21
2016-06,18
2016-07,19
2016-08,17
2016-09,18
2016-10,15
2016-11,34
2016-12,10
2017-01,18
2017-02,18
2017-03,17
2017-04,30
2017-05,23
2017-06,42
2017-07,54
2017-08,40
2017-09,37
2017-10,36
2017-11,40
2017-12,37
2018-01,36
2018-02,41
2018-03,59
2018-04,59
2018-05,78
2018-06,83
2018-07,56
2018-08,34
2018-09,45
2018-10,45
2018-11,51
2018-12,62
2019-01,71
2019-02,53
2019-03,66
2019-04,65
2019-05,77
2019-06,100
2019-07,93
2019-08,72
2019-09,67
2019-10,60
2019-11,58
2019-12,58
2020-01,57
2020-02,63
2020-03,73
2020-04,83
2020-05,83
2020-06,83
2020-07,77
2020-08,65
2020-09,63
2020-10,53
2020-11,39
2020-12,41
2021-01,40
2021-02,37
2021-03,37
2021-04,29
2021-05,31
2021-06,36
2021-07,22
2021-08,8
2021-09,6
2021-10,6
2021-11,7
2021-12,14
2022-01,10
2022-02,8
2022-03,6
2022-04,6
2022-05,11
2022-06,13
2022-07,8
2022-08,7
2022-09,6
2022-10,6
2022-11,5
2022-12,5
2023-01,6
2023-02,7
2023-03,6
2023-04,33
2023-05,29
2023-06,80
2023-07,43
2023-08,27
2023-09,17
2023-10,11
2023-11,10
2023-12,9
2024-01,8
2024-02,5
2024-03,5
2024-04,5
2024-05,7
2024-06,6
2024-07,6
2024-08,5
2024-09,6
2024-10,4
2024-11,3
2024-12,4
2025-01,4
2025-02,5
2025-03,4
2025-04,4
2025-05,5
2025-06,3
2025-07,5
2025-08,5
2025-09,5
2025-10,12
2025-11,14
2025-12,8
