Catégorie : Toutes catégories

Mois,Michelob Ultra: (États-Unis)
2004-01,19
2004-02,10
2004-03,9
2004-04,10
2004-05,11
2004-06,7
2004-07,7
2004-08,7
2004-09,5
2004-10,6
2004-11,4
2004-12,5
2005-01,5
2005-02,7
2005-03,7
2005-04,7
2005-05,8
2005-06,6
2005-07,6
2005-08,6
2005-09,6
2005-10,6
2005-11,3
2005-12,5
2006-01,6
2006-02,9
2006-03,7
2006-04,6
2006-05,6
2006-06,5
2006-07,6
2006-08,6
2006-09,6
2006-10,6
2006-11,4
2006-12,3
2007-01,6
2007-02,6
2007-03,6
2007-04,8
2007-05,9
2007-06,9
2007-07,10
2007-08,8
2007-09,8
2007-10,6
2007-11,4
2007-12,4
2008-01,7
2008-02,6
2008-03,7
2008-04,7
2008-05,10
2008-06,14
2008-07,10
2008-08,9
2008-09,8
2008-10,6
2008-11,5
2008-12,5
2009-01,9
2009-02,5
2009-03,6
2009-04,7
2009-05,9
2009-06,9
2009-07,9
2009-08,9
2009-09,8
2009-10,7
2009-11,6
2009-12,6
2010-01,8
2010-02,9
2010-03,7
2010-04,7
2010-05,9
2010-06,8
2010-07,10
2010-08,8
2010-09,7
2010-10,5
2010-11,5
2010-12,6
2011-01,9
2011-02,8
2011-03,9
2011-04,8
2011-05,9
2011-06,11
2011-07,12
2011-08,10
2011-09,9
2011-10,6
2011-11,6
2011-12,6
2012-01,9
2012-02,8
2012-03,9
2012-04,11
2012-05,15
2012-06,15
2012-07,16
2012-08,13
2012-09,10
2012-10,8
2012-11,9
2012-12,9
2013-01,10
2013-02,9
2013-03,9
2013-04,10
2013-05,12
2013-06,14
2013-07,15
2013-08,15
2013-09,11
2013-10,9
2013-11,8
2013-12,8
2014-01,10
2014-02,9
2014-03,10
2014-04,11
2014-05,12
2014-06,14
2014-07,14
2014-08,14
2014-09,12
2014-10,10
2014-11,9
2014-12,9
2015-01,9
2015-02,9
2015-03,11
2015-04,12
2015-05,13
2015-06,16
2015-07,16
2015-08,16
2015-09,15
2015-10,13
2015-11,11
2015-12,11
2016-01,12
2016-02,13
2016-03,13
2016-04,16
2016-05,17
2016-06,19
2016-07,21
2016-08,18
2016-09,15
2016-10,15
2016-11,1
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,3
2019-06,< 1
2019-07,< 1
2019-08,0
2019-09,0
2019-10,1
2019-11,12
2019-12,7
2020-01,0
2020-02,14
2020-03,23
2020-04,28
2020-05,34
2020-06,41
2020-07,32
2020-08,30
2020-09,32
2020-10,8
2020-11,12
2020-12,11
2021-01,22
2021-02,24
2021-03,32
2021-04,35
2021-05,36
2021-06,39
2021-07,37
2021-08,32
2021-09,42
2021-10,39
2021-11,29
2021-12,13
2022-01,27
2022-02,46
2022-03,40
2022-04,54
2022-05,66
2022-06,60
2022-07,48
2022-08,44
2022-09,37
2022-10,43
2022-11,40
2022-12,39
2023-01,46
2023-02,56
2023-03,47
2023-04,100
2023-05,77
2023-06,74
2023-07,62
2023-08,47
2023-09,31
2023-10,40
2023-11,39
2023-12,42
2024-01,45
2024-02,60
2024-03,51
2024-04,58
2024-05,68
2024-06,71
2024-07,78
2024-08,63
2024-09,61
2024-10,53
2024-11,52
2024-12,66
2025-01,57
2025-02,71
2025-03,53
2025-04,63
2025-05,67
2025-06,64
2025-07,73
2025-08,57
2025-09,51
2025-10,50
2025-11,49
2025-12,46
